SOLUTION SUHFACE NO.   250 - TIMF. a    .00(58212 SECONDS (DELTA T a    ,00000636)

           L    M          X             Y          U           V              P          RHU         U       MACH       T
           8    s      -2.2000         1.0597   285,3706     -50.3370        24.1059   .102732     289,7842   .2349   173,3559


                                                           Fig. 10 (cont)




                                                                                                                                 V

