CO    SOLUTION SURFACE NU,   345 - TIME *    .00237634 SECONDS   (DELTA T *    ,00000691)
-p*
                 L    M          X            T          U             V              P          RHO         Q       MACH       T
                 6    5      -3.20b7        3,6396    321,7514       27.9020        94,4542   ,488941     322,9590   ,2885    61,4256
                 6     b     -3.20b7        4.0000    317.4202        0,0000        94,6142   ,489529     317.4202   ,2835    61,6822
                  7    1     -2.9b0H        2,3929    246,1173      182,2747        94.9109   ,490626     306,2642   .2734    62,1473
                  7    2     -2.9b00        2.7143    267,6866      117,9731        95,0919   ,491347     292,5299   .2611    62,3756
                 7     3     -2.9b30        3.0357    323,2732      100,9577        94.2213   .488127     338.6709   ,3027    61,0076
                  7    4     -2.9b00        3.3571    321,5757       56.3837        94,1319   .487751     326,4813   .2918    60,9145
                  7    5     -2.9b00        3.6736    341.9079       29,8608        93,7507   ,486340     343,2094   .3069    60,3106
                  7    b     -2.9b00        4.0000    338,8474        0,0000        93.8859   ,486837     338,8474   ,3030    60.5294
                  a    1     -2.7133        2.5642    289,9157      188,6100        93,5079   ,485435     345,8682   ,3094    59,9300
                  a    2     -2.7133        2,8514    307.9821      127.9301        93,7199   ,486292     333.4952   .2983    60,1912
                  a    3     -2.7133        3.1385    353,1446      104.0948        93,1129   ,484017     368,1668   .3296    59,2511
                  a    4     -2.7133        3.4257    350,7214       60,2814        93,0513   .483748     355,8642   ,3186    59,1957
                  a    5     -2.7133        3.7128    367,0750       30.9629        92.7906   ,482778     368,3786   ,3299    58,7817
                  a    b     -2.7133        4,0000    365.0832        0.0000        92,9035   ,483193     365.0832   .3269    58,9667
                  9    1     -2,4bb7        2.7146    335.9522      191.6407        91,9380   .479603     386,7687   ,3469    57,4175
                  9    2     -2.46b 7       2.9717    350.4988      134,3668        92,1960   ,480650     375.3716   ,3365    57,7394
                  9    3     -2.4667        3.2288    387.1967      105.6010        91,7925   ,479105     401,3389   ,3600    57,1358
                  9    4     -2.4667        3.4859    384,1126       63,0205        91.7586   .478944     389,2481   ,3492    57,1185
                  9    5     -2.4667        3.7429    397.2721       31.6727        91,5882   ,478304     398,5327   ,3576    56,8485
                  9    6     -2.4667        4,0000    396,0271        0.0000        91,6830   .478654     396,0271   ,3553    57,0061



                                                                 Fig. 12 (cont)

