CJ   SOLUTION SURFACE NO.     250 - TIME ■     ,00158212 SECONDS (DELTA T              00000638}
o
                L      M           X            T               U            V               P              RHO               U         MACH        T
               21      5         .4000         .6634    1140,3012             , 7380       13,1050           ,066459    1140,3014      1.0083     72,2436
               21      6         .4000         .8293    1163.6872           -.5522         12.7467           ,065140    1163.6873      1.0329     68,1722
               21      7         ,4000         .9951    119P.9668         -2.0159          12,4996           ,064260    1190.9685      1,0603     65,0239
               22      1         .6000        0.0000    1161,1336           0,0000         12.7426           .065154    1161,1336      1,0309     67.8962
               22      2         .6000         .1660    1162,4664           1.8530         12.7227           ,065079    1162.4678      1.0323     67,6732
               22      3         .6000         ,3320    1165.5589           3,5348         12,6768           .064908    1165,5642      1.0356     67,1596
               22      4         .6000         .4980    1170,6776           4,7717         12.5978           ,064612    1170.6873      1.0410     66,2712
               22      5         .6000         .6640    1173,8592           7,0631         12.5493           ,064427    1173.8804      1.0444     65,7481
               22      6         .6000         .3299    1178,9652           7,5425         12,5091           .064270    1178,9893      1.0493     65,3489
               22      7         .6000         .9959    1192,3993           4.7125         12.4965           ,064249    1192.4086      1,0616     64.9867
               23      1         .8000        0.0000    1222,7818         -0.0000          11,7299           ,061477    1222.7818      1,0992     55,0064
               23      2         .8000         .1661    1221.8079           4,9190         11,7494           ,061543    1221,8178      1,0980     55,3043
               23      3         .8030         .3322    1219.8205           9.4775         11.7902           ,061682    1219,8573      1,0955     55,9309
               23      4         .8000         .4984    1215.6967          12,4405         11.8637           ,061934    1215.7603      1.0907     57,8332
               23      5         .8000         ,6645    1207.4172          13,4183         11.9936           .062396    1207,4918      1.0814     58,8296
               23      6         .8000         .8306    1194,2432          15.6371         12.2716           ,063399    1194,3456      1,0659     62,4479
               23      7         .8000         .9967    1193,9317           4.7182         12.4934           ,064238    1193,8410      1.0629     64,9495

               MASSs       1.5757 (LdM/SEC)        THRU ST*       44.7800 (LBF)         MASSI*     1, 5915        MASSE =     1.5757


                                                                        F1g. 10 (cont)

