SOLUTION SURFACE NO,   301 - TIME «    ,00162916 SECONDS    (DELTA T *   ,000005111)

           L    M          X            Y          U              V              P         HHO         0       MACH      T
           5    S       1.0580        1.1909    120,6574      -49,3831        69,3592   .347728     130,3722   .1146   78,3850
           5    b       1.8580        1.4887     92,4029      -49.9027        69,5637   ,348495     105,0170   .0923   78.7833
           5    7       1.0580        1.7864     66,3097      -46.6519        69,7342   ,349073      81,0763   ,0712   79.2094
           5    8       1.3580        2.0841     45.6459      -45.4552        69,8646   ,351093      64,4183   ,0567   77,2645
           6    1       1.2450        0.0000    2.08,6485       0,0000        68.3644   ,343931     208,6465   .1838   76.5209
           b    2       1.2450         .2711    204.5468      -20.3330        68,4076   ,344081     205,5549   ,1810   76,6265
           6    3       1.2450         ,5423    191,1932      -39.2038        68.5551   ,344612     195,1712   .1718   76,9548
           6    4       1.2450         .8134    169,6380      -54,0883        68,7762   ,345419     178.0522   ,1567   77,4270
           6    5       1.2450        1,0845    142.5697      -63.7640        69.0343   ,346336     156.1792   .1374   78,0158
           b    b       1.2450        1.3557    111.8738      -65,9052        69.3100   .347214     129.8432   .1141   78,7985
           6    7       1.2450        1,6268     83.9892      -64.4311        69,5343   ,348057     105.8563   ,0930   79,2339
           b    8       1,2450        1.8979     60,8833      -60,6288        69.8047   .348123      85,9223   .0753   81,2287
           7    1       1.4320        0,0000    244,4324        0.0000        67.8755   ,342319     244,4324   .2155   75.1934
           7    2       1.4320         ,2445    239.7789      -25.3265        67,9268   .342507     241,1127   .2126   75,3031
           7    3       1.4320         ,4091    226.5992      -49,2547        68,0787   ,343078     231,8906   ,2044   75,6076
           7    4       1.4320         ,733b    204,3100      -69.2211        68,3138   .343971     215,7177   .1901   76,0607
           7    5       1.4320         .9781    174,9«60      -82.8765        68.6031   .345044     193.5836   .1705   76,6578
           7    b       1.4320        1.2226    140.4528      -87,7474        68,9166   .346251     165.6098   .1458   77,2313


                                                              Fig. 8 (cont)

